Dataset,Method,Attack,K_prac,SR (%),ASR (%),CBR (%),Rows_Aligned
TextVQA_Open,VisPruner,CAA_eps2,64,92.46363893297388,13.295454545454549,12.138084632516705,1000.0
ScienceQA_MC,VisPruner,CAA_eps2,32,94.33760683760684,16.178343949044585,18.6046511627907,990.0
VQAv2_Open,VisPruner,CAA_eps2,64,97.3182508557568,7.303370786516854,9.24548352816153,1000.0
VQAv2_MC,VisPruner,CAA_eps2,32,97.95918367346938,10.38961038961039,14.900314795383002,1000.0
TextVQA_Open,PruMerge,CAA_eps2,64,92.46363893297388,11.529126213592232,15.14476614699332,1000.0
ScienceQA_MC,PruMerge,CAA_eps2,32,94.33760683760684,13.94169835234474,18.13953488372093,990.0
VQAv2_Open,PruMerge,CAA_eps2,64,97.3182508557568,9.89522700814901,12.75239107332625,1000.0
VQAv2_MC,PruMerge,CAA_eps2,32,65.51020408163266,29.13096695226438,22.955974842767297,1000.0
TextVQA_Open,FlowCut,CAA_eps2,64,92.46363893297388,10.784313725490197,16.481069042316257,1000.0
ScienceQA_MC,FlowCut,CAA_eps2,32,94.33760683760684,10.632911392405065,15.930232558139537,990.0
VQAv2_Open,FlowCut,CAA_eps2,64,97.3182508557568,9.575757575757576,16.896918172157278,1000.0
VQAv2_MC,FlowCut,CAA_eps2,64,97.95918367346938,5.146198830409357,11.227701993704091,1000.0
