method,dataset,token_budget,protocol,train_pos,test_pos,negative_set,llm_pool,n_train_neg,n_train_pos,detector,scope,n_test_neg,n_test_pos,test_neg_score_mean,test_pos_score_mean,test_neg_score_median,test_pos_score_median,AUROC,AUPR,TPR@5FPR
DivPrune,VQAv2_MC,32,fata_aware,fata,fata,clean_clip_random_clip,image,1000,500,llm_trajectory,stage_trajectory,1000,500,0.014206851262380006,0.42170165599992593,0.5478420860641162,0.7365859180427166,0.631114,0.44512812036913313,0.088
DivPrune,VQAv2_MC,32,fata_aware,fata,fata,clean_clip_random_clip,image,1000,500,all_level_fused,fused,1000,500,0.044287964806448046,1.95038672786126,0.29190006553589787,2.224094811565426,0.917026,0.8914605518294803,0.75
DivPrune,VQAv2_Open,64,base_sanity,base,base,clean_clip_random_clip,image,1000,500,visual_trajectory,stage_trajectory,1000,500,-0.036817871056919214,7.214718220999808,-0.08417969668898871,7.321655458801038,0.999834,0.9996734740499416,1.0
DivPrune,VQAv2_Open,64,base_sanity,base,base,clean_clip_random_clip,image,1000,500,projector_trajectory,stage_trajectory,1000,500,-0.041313620187139605,2.592073135656523,-0.25274234894651715,2.4947768463406867,0.941402,0.8995502468854346,0.7
DivPrune,VQAv2_Open,64,base_sanity,base,base,clean_clip_random_clip,image,1000,500,llm_trajectory,stage_trajectory,1000,500,-0.19005337995936014,1.1176539356463768,-0.4959475256293836,1.1677537185877553,0.8039499999999999,0.6944710169139596,0.398
DivPrune,VQAv2_Open,64,base_sanity,base,base,clean_clip_random_clip,image,1000,500,all_level_fused,fused,1000,500,-0.11320752729903653,4.611481002286393,-0.3141684310174131,4.535819118995216,0.997606,0.9948061309201375,0.994
DivPrune,VQAv2_Open,64,fata_unseen_base_dir,base,fata,clean_clip_random_clip,image,1000,500,visual_trajectory,stage_trajectory,1000,500,-0.036817871056919214,4.074892950259062,-0.08417969668898871,4.151759699269142,0.991946,0.9843171612084339,0.982
DivPrune,VQAv2_Open,64,fata_unseen_base_dir,base,fata,clean_clip_random_clip,image,1000,500,projector_trajectory,stage_trajectory,1000,500,-0.041313620187139605,0.6099841097593192,-0.25274234894651715,0.41539720812554803,0.6829240000000001,0.5254220802909413,0.186
DivPrune,VQAv2_Open,64,fata_unseen_base_dir,base,fata,clean_clip_random_clip,image,1000,500,llm_trajectory,stage_trajectory,1000,500,-0.19005337995936014,0.39816585617552164,-0.4959475256293836,0.2989103885938381,0.662892,0.48287251447923274,0.136
DivPrune,VQAv2_Open,64,fata_unseen_base_dir,base,fata,clean_clip_random_clip,image,1000,500,all_level_fused,fused,1000,500,-0.11320752729903653,2.1456792738346664,-0.3141684310174131,2.1135003714194625,0.934078,0.8645667688321625,0.64
