,,,,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUPR,AUPR,AUPR,AUPR,AUPR,AUPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,n_test_attack,n_test_attack,n_test_attack,n_test_attack,n_test_attack,n_test_attack
,,,,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
protocol,train_attack,test_attack,detector,,,,,,,,,,,,,,,,,,,,,,,,
caa_unseen_base_dir,base,caa,all_level_fused,0.9300350976716961,0.033820886014424505,0.9403514405567117,0.8745860000000001,0.9821819999999999,20,0.8745120310255615,0.07332456637775618,0.8914823395469651,0.7289928086323794,0.9698791653837274,20,0.6977241935483871,0.17099652558260703,0.753,0.3548387096774194,0.93,20,499.0,1.7770466332772779,500.0,496,500,20
caa_unseen_base_dir,base,caa,llm_trajectory,0.7458594445109261,0.12531003880753788,0.6966811677939646,0.594712,0.922578,20,0.6090376024180759,0.207952745264439,0.4784395341389459,0.3985137785144143,0.9048434221890543,20,0.3198677419354839,0.2915275025666098,0.11448387096774193,0.05,0.78,20,499.0,1.7770466332772779,500.0,496,500,20
caa_unseen_base_dir,base,caa,projector_trajectory,0.6585560675338189,0.1728863426377989,0.628004,0.44281200000000004,0.873246,20,0.5306014927956854,0.22369390703001701,0.42142067023115015,0.3013949698846127,0.8391695712105909,20,0.25208548387096774,0.2531604547888287,0.08136290322580644,0.022,0.636,20,499.0,1.7770466332772779,500.0,496,500,20
caa_unseen_base_dir,base,caa,visual_trajectory,0.9755755221774194,0.014271151743559978,0.9763040443548388,0.956196,0.993498,20,0.9588589401194586,0.028504381843190898,0.9587819549317951,0.9261571533505111,0.9917146972637331,20,0.930266129032258,0.03803964810962174,0.9319999999999999,0.8830645161290323,0.974,20,499.0,1.7770466332772779,500.0,496,500,20
cage_aware,cage,cage,all_level_fused,0.9977775,0.003799460896661955,0.9998619999999999,0.9886320000000001,1.0,20,0.9954018139523868,0.008289057628961937,0.9997439718838079,0.9720767582291393,1.0,20,0.9911,0.019460891957705208,1.0,0.92,1.0,20,500.0,0.0,500.0,500,500,20
cage_aware,cage,cage,llm_trajectory,0.9803826000000001,0.02123127274465414,0.9906630000000001,0.9378580000000001,0.9999779999999999,20,0.9598144249917133,0.04517110548221755,0.9789273869677122,0.8538238524231939,0.9999563487339287,20,0.8974,0.14231336808902426,0.957,0.472,1.0,20,500.0,0.0,500.0,500,500,20
cage_aware,cage,cage,projector_trajectory,0.9836121,0.03056271040250472,0.99678,0.889236,0.9999739999999999,20,0.974402633974233,0.044005928807704354,0.9941090548886002,0.8455630218599961,0.9999482295715365,20,0.9362999999999999,0.11726941540518433,0.99,0.614,1.0,20,500.0,0.0,500.0,500,500,20
cage_aware,cage,cage,visual_trajectory,0.9992274999999999,0.0012957585666928443,0.999934,0.997042,1.0,20,0.9985175649491829,0.002484049658319677,0.9998711461048322,0.9943279675870675,1.0,20,0.998,0.0035540932665545613,1.0,0.992,1.0,20,500.0,0.0,500.0,500,500,20
cage_unseen_base_dir,base,cage,all_level_fused,0.9918547,0.009925445412781493,0.998354,0.971526,1.0,20,0.983069688731875,0.020699331815608193,0.9966680392844819,0.9320922920938841,1.0,20,0.9682000000000001,0.041018096134831934,0.994,0.88,1.0,20,500.0,0.0,500.0,500,500,20
cage_unseen_base_dir,base,cage,llm_trajectory,0.8507450999999999,0.10788876289659592,0.849502,0.67605,0.9969319999999999,20,0.759862261431369,0.1609607211366618,0.7440495262871508,0.5472450081317295,0.9940294597985222,20,0.5126000000000001,0.3061771760890983,0.438,0.144,0.994,20,500.0,0.0,500.0,500,500,20
