method,dataset,token_budget,protocol,train_attack,test_attack,llm_pool,n_train_attack,n_test_attack,detector,scope,n_test_neg,n_test_pos,test_neg_score_mean,test_pos_score_mean,AUROC,AUPR,TPR@5FPR
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,llm_image_l32,layer,1000,500,-0.0017665386468870565,3.0224583414793016,0.9882080000000001,0.9773116879332086,0.926
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,visual_trajectory,stage,1000,500,0.01897804167273557,4.7550342845188345,0.999868,0.9997422922096644,1.0
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,projector_trajectory,stage,1000,500,-0.08940822607807535,2.282604851610035,0.889236,0.8455630218599961,0.614
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,llm_trajectory,stage,1000,500,-0.07769365333852486,2.286376506317417,0.9378580000000001,0.9048485972346281,0.71
DivPrune,ScienceQA_MC,32,cage_aware,cage,cage,image,500,500,all_level_fused,fused,1000,500,-0.049374612581288224,3.1080052141487617,0.9886320000000001,0.9785301837535674,0.92
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,vis_l06,layer,992,496,-0.0018534189279190258,3.4617708727760585,0.9509442475286161,0.94993559987347,0.8911290322580645
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,vis_l12,layer,992,496,-0.022467134522131463,2.2936463031519745,0.8755019998699272,0.8942349472691197,0.8145161290322581
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,vis_l18,layer,992,496,-0.007734245243256972,3.120493257393865,0.8678520909209159,0.8714179451022467,0.7379032258064516
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,vis_l24,layer,992,496,0.014496906084757703,3.7481338856765256,0.8766442020031218,0.8721828629325796,0.7419354838709677
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,proj_in,layer,992,496,-0.08044093708984644,1.426041982050294,0.8103436361862643,0.7225915600210754,0.41330645161290325
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,proj_out,layer,992,496,-0.10485318153493403,0.7745674949687635,0.7523392787460977,0.6081293331820168,0.2721774193548387
DivPrune,ScienceQA_MC,32,caa_aware,caa,caa,image,494,496,llm_image_l08,layer,992,496,-0.1049865509039298,0.6759826054936463,0.7325539802289283,0.6016488433868543,0.25201612903225806
