,,,,AUROC,AUROC,AUROC,AUROC,AUROC,AUROC,AUPR,AUPR,AUPR,AUPR,AUPR,AUPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR,TPR@5FPR
,,,,mean,std,median,min,max,count,mean,std,median,min,max,count,mean,std,median,min,max,count
protocol,scope,detector,llm_pool,,,,,,,,,,,,,,,,,,
fata_unseen_base_dir,llm_layer,llm_image_l16,image,0.70651545,0.08003352645871865,0.709524,0.57548,0.818712,20,0.5474543959296689,0.11100912725012256,0.5567336832472762,0.4002868429272751,0.7436496431621845,20,0.2129,0.1313179748789776,0.189,0.056,0.496,20
fata_unseen_base_dir,llm_layer,llm_image_l24,image,0.72977125,0.08386756555482042,0.731291,0.591278,0.859318,20,0.5759123178292592,0.11505804967401449,0.5711137216951079,0.43322536220280117,0.780507292081191,20,0.24009999999999998,0.14758330386241988,0.187,0.078,0.55,20
fata_unseen_base_dir,llm_layer,llm_image_l32,image,0.7158276,0.08578435303185968,0.732726,0.566182,0.8434659999999999,20,0.5627131493235848,0.11204557076905956,0.5747892903608838,0.41286213799781823,0.7440703254350505,20,0.2213,0.10962188602070685,0.21000000000000002,0.068,0.386,20
fata_unseen_base_dir,projector_layer,proj_in,image,0.7055674,0.040571534667858705,0.713823,0.63801,0.7646459999999999,20,0.5521711318542589,0.05313611933961493,0.5527602192208838,0.4642420982186528,0.6322649782061975,20,0.2084,0.07062011045021098,0.192,0.116,0.35,20
fata_unseen_base_dir,projector_layer,proj_out,image,0.6921773,0.06699214752499374,0.70615,0.556762,0.7920400000000001,20,0.5423924935305019,0.0830765063785111,0.5437696342493155,0.41251505340861316,0.687048983350337,20,0.2023,0.0874559137057367,0.182,0.068,0.356,20
fata_unseen_base_dir,stage_trajectory,llm_trajectory,image,0.7340361,0.08113639444910037,0.730739,0.596544,0.848292,20,0.5816079327766369,0.11098100930746838,0.5754449534971731,0.4232840264979738,0.7747346898416424,20,0.2472,0.13794644269654646,0.235,0.078,0.522,20
fata_unseen_base_dir,stage_trajectory,projector_trajectory,image,0.7161918,0.05838148512165929,0.72398,0.623378,0.809974,20,0.5666858011680278,0.07296881903680569,0.5623145617348024,0.46222871837401447,0.7011926301217007,20,0.2209,0.08166033631032747,0.186,0.126,0.41,20
fata_unseen_base_dir,stage_trajectory,visual_trajectory,image,0.98859,0.007943928234159323,0.988664,0.97807,0.998962,20,0.9688179706166009,0.025429593789611866,0.9725182738502232,0.9325283466529357,0.9977069881130217,20,0.974,0.020261449005179143,0.975,0.946,1.0,20
fata_unseen_base_dir,visual_layer,vis_l06,image,0.9993460000000001,0.0010364047167212606,0.999892,0.9976,1.0,20,0.9987567319351562,0.001971167456550217,0.9997956240485588,0.9954356796435075,1.0,20,0.9970000000000001,0.005331139899831834,1.0,0.988,1.0,20
fata_unseen_base_dir,visual_layer,vis_l12,image,0.9698370000000001,0.01334843073765204,0.972251,0.94935,0.9854959999999999,20,0.953095388104208,0.03271852175826097,0.9630910909456718,0.9019789212693985,0.9842204492560896,20,0.9359999999999999,0.02655679118219548,0.9390000000000001,0.902,0.964,20
